"","Species","Genus","Subfamily","Family","Order"
"306","Alfaro cultratus","Alfaro","Poeciliinae","Poeciliidae","Cyprinodontiformes"
"307","Alfaro huberi","Alfaro","Poeciliinae","Poeciliidae","Cyprinodontiformes"
"308","Algansea amecae","Algansea","Pogonichthyinae","Cyprinidae","Cypriniformes"
"309","Algansea aphanea","Algansea","Pogonichthyinae","Cyprinidae","Cypriniformes"
"310","Algansea avia","Algansea","Pogonichthyinae","Cyprinidae","Cypriniformes"
"311","Algansea barbata","Algansea","Pogonichthyinae","Cyprinidae","Cypriniformes"
"312","Algansea lacustris","Algansea","Pogonichthyinae","Cyprinidae","Cypriniformes"
"313","Algansea monticola","Algansea","Pogonichthyinae","Cyprinidae","Cypriniformes"
"314","Algansea tincella","Algansea","Pogonichthyinae","Cyprinidae","Cypriniformes"
"315","Alloclinus holderi","Alloclinus",NA,"Labrisomidae","Blenniiformes"
"316","Allocyttus folletti","Allocyttus","Oreosomatinae","Oreosomatidae","Zeiformes"
"317","Allocyttus niger","Allocyttus","Oreosomatinae","Oreosomatidae","Zeiformes"
"318","Allocyttus verrucosus","Allocyttus","Oreosomatinae","Oreosomatidae","Zeiformes"
"319","Allodontichthys hubbsi","Allodontichthys","Goodeinae","Goodeidae","Cyprinodontiformes"
"320","Allodontichthys polylepis","Allodontichthys","Goodeinae","Goodeidae","Cyprinodontiformes"
"321","Allodontichthys tamazulae","Allodontichthys","Goodeinae","Goodeidae","Cyprinodontiformes"
"322","Allodontichthys zonistius","Allodontichthys","Goodeinae","Goodeidae","Cyprinodontiformes"
"323","Allomycterus pilatus","Allomycterus",NA,"Diodontidae","Tetraodontiformes"
"324","Alloophorus robustus","Alloophorus","Goodeinae","Goodeidae","Cyprinodontiformes"
"325","Allosmerus elongatus","Allosmerus",NA,"Osmeridae","Osmeriformes"
"326","Allothunnus fallai","Allothunnus","Scombrinae","Scombridae","Scombriformes"
"327","Allotoca catarinae","Allotoca","Goodeinae","Goodeidae","Cyprinodontiformes"
"328","Allotoca diazi","Allotoca","Goodeinae","Goodeidae","Cyprinodontiformes"
"329","Allotoca dugesii","Allotoca","Goodeinae","Goodeidae","Cyprinodontiformes"
"330","Allotoca goslinei","Allotoca","Goodeinae","Goodeidae","Cyprinodontiformes"
"331","Allotoca maculata","Allotoca","Goodeinae","Goodeidae","Cyprinodontiformes"
"332","Allotoca meeki","Allotoca","Goodeinae","Goodeidae","Cyprinodontiformes"
"333","Allotoca regalis","Allotoca","Goodeinae","Goodeidae","Cyprinodontiformes"
"334","Allotoca zacapuensis","Allotoca","Goodeinae","Goodeidae","Cyprinodontiformes"
"335","Alosa aestivalis","Alosa",NA,"Clupeidae","Clupeiformes"
"336","Alosa agone","Alosa",NA,"Clupeidae","Clupeiformes"
"337","Alosa alabamae","Alosa",NA,"Clupeidae","Clupeiformes"
"338","Alosa alosa","Alosa",NA,"Clupeidae","Clupeiformes"
"339","Alosa caspia caspia","Alosa",NA,"Clupeidae","Clupeiformes"
"340","Alosa chrysochloris","Alosa",NA,"Clupeidae","Clupeiformes"
"341","Alosa fallax","Alosa",NA,"Clupeidae","Clupeiformes"
"342","Alosa immaculata","Alosa",NA,"Clupeidae","Clupeiformes"
"343","Alosa killarnensis","Alosa",NA,"Clupeidae","Clupeiformes"
"344","Alosa macedonica","Alosa",NA,"Clupeidae","Clupeiformes"
"345","Alosa mediocris","Alosa",NA,"Clupeidae","Clupeiformes"
"346","Alosa pseudoharengus","Alosa",NA,"Clupeidae","Clupeiformes"
"347","Alosa sapidissima","Alosa",NA,"Clupeidae","Clupeiformes"
"348","Alphestes afer","Alphestes",NA,"Serranidae","Perciformes"
"349","Alphestes immaculatus","Alphestes",NA,"Serranidae","Perciformes"
"350","Alphestes multiguttatus","Alphestes",NA,"Serranidae","Perciformes"
"351","Alticorpus peterdaviesi","Alticorpus","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"352","Alticus arnoldorum","Alticus","Salariinae","Blenniidae","Blenniiformes"
"353","Alticus saliens","Alticus","Salariinae","Blenniidae","Blenniiformes"
"354","Altolamprologus calvus","Altolamprologus","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"355","Altolamprologus compressiceps","Altolamprologus","Pseudocrenilabrinae","Cichlidae","Cichliformes"
"356","Altrichthys azurelineatus","Altrichthys","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"357","Altrichthys curatus","Altrichthys","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"358","Aluterus heudelotii","Aluterus",NA,"Monacanthidae","Tetraodontiformes"
"359","Aluterus monoceros","Aluterus",NA,"Monacanthidae","Tetraodontiformes"
"360","Aluterus schoepfii","Aluterus",NA,"Monacanthidae","Tetraodontiformes"
"361","Aluterus scriptus","Aluterus",NA,"Monacanthidae","Tetraodontiformes"
"362","Amanses scopas","Amanses",NA,"Monacanthidae","Tetraodontiformes"
"363","Amaralia hypsiura","Amaralia","Aspredininae","Aspredinidae","Siluriformes"
"364","Amatitlania nigrofasciata","Amatitlania","Cichlasomatinae","Cichlidae","Cichliformes"
"365","Amazonspinther dalmata","Amazonspinther","Spintherobolinae","Characidae","Characiformes"
"366","Amazonsprattus scintilla","Amazonsprattus","Engraulinae","Engraulidae","Clupeiformes"
"367","Ambassis agassizii","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"368","Ambassis agrammus","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"369","Ambassis ambassis","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"370","Ambassis buruensis","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"371","Ambassis dussumieri","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"372","Ambassis gymnocephalus","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"373","Ambassis interrupta","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"374","Ambassis macleayi","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"375","Ambassis marianus","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"376","Ambassis miops","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"377","Ambassis urotaenia","Ambassis",NA,"Ambassidae","Incertae sedis in Ovalentaria"
"378","Ambastaia nigrolineata","Ambastaia","Botiinae","Cobitidae","Cypriniformes"
"379","Ambastaia sidthimunki","Ambastaia","Botiinae","Cobitidae","Cypriniformes"
"380","Ambiserrula jugosa","Ambiserrula",NA,"Platycephalidae","Perciformes"
"381","Ambloplites ariommus","Ambloplites",NA,"Centrarchidae","Centrarchiformes"
"382","Ambloplites cavifrons","Ambloplites",NA,"Centrarchidae","Centrarchiformes"
"383","Ambloplites constellatus","Ambloplites",NA,"Centrarchidae","Centrarchiformes"
"384","Ambloplites rupestris","Ambloplites",NA,"Centrarchidae","Centrarchiformes"
"385","Amblyceps apangi","Amblyceps",NA,"Amblycipitidae","Siluriformes"
"386","Amblyceps arunchalensis","Amblyceps",NA,"Amblycipitidae","Siluriformes"
"387","Amblyceps caecutiens","Amblyceps",NA,"Amblycipitidae","Siluriformes"
"388","Amblyceps foratum","Amblyceps",NA,"Amblycipitidae","Siluriformes"
"389","Amblyceps mangois","Amblyceps",NA,"Amblycipitidae","Siluriformes"
"390","Amblyceps serratum","Amblyceps",NA,"Amblycipitidae","Siluriformes"
"391","Amblychaeturichthys hexanema","Amblychaeturichthys","Gobionellinae","Gobiidae","Gobiiformes"
"392","Amblychaeturichthys sciistius","Amblychaeturichthys","Gobionellinae","Gobiidae","Gobiiformes"
"393","Amblycirrhitus bimacula","Amblycirrhitus",NA,"Cirrhitidae","Centrarchiformes"
"394","Amblycirrhitus pinos","Amblycirrhitus",NA,"Cirrhitidae","Centrarchiformes"
"395","Amblydoras affinis","Amblydoras","Astrodoradinae","Doradidae","Siluriformes"
"396","Amblydoras monitor","Amblydoras","Astrodoradinae","Doradidae","Siluriformes"
"397","Amblydoras nauticus","Amblydoras","Astrodoradinae","Doradidae","Siluriformes"
"398","Amblyeleotris aurora","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"399","Amblyeleotris fasciata","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"400","Amblyeleotris guttata","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"401","Amblyeleotris gymnocephala","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"402","Amblyeleotris periophthalma","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"403","Amblyeleotris randalli","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"404","Amblyeleotris steinitzi","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"405","Amblyeleotris sungami","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"406","Amblyeleotris wheeleri","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"407","Amblyeleotris yanoi","Amblyeleotris","Gobiinae","Gobiidae","Gobiiformes"
"408","Amblygaster clupeoides","Amblygaster",NA,"Clupeidae","Clupeiformes"
"409","Amblyglyphidodon aureus","Amblyglyphidodon","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"410","Amblyglyphidodon batunai","Amblyglyphidodon",NA,"Pomacentridae","Incertae sedis in Ovalentaria"
"411","Amblyglyphidodon curacao","Amblyglyphidodon","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"412","Amblyglyphidodon indicus","Amblyglyphidodon","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"413","Amblyglyphidodon leucogaster","Amblyglyphidodon","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"414","Amblyglyphidodon orbicularis","Amblyglyphidodon","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"415","Amblyglyphidodon ternatensis","Amblyglyphidodon","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"416","Amblygobius albimaculatus","Amblygobius","Gobiinae","Gobiidae","Gobiiformes"
"417","Amblygobius decussatus","Amblygobius","Gobiinae","Gobiidae","Gobiiformes"
"418","Amblygobius nocturnus","Amblygobius","Gobiinae","Gobiidae","Gobiiformes"
"419","Amblygobius phalaena","Amblygobius","Gobiinae","Gobiidae","Gobiiformes"
"420","Amblygobius sphynx","Amblygobius","Gobiinae","Gobiidae","Gobiiformes"
"421","Amblyopsis rosae","Amblyopsis",NA,"Amblyopsidae","Percopsiformes"
"422","Amblyopsis spelaea","Amblyopsis",NA,"Amblyopsidae","Percopsiformes"
"423","Amblypharyngodon chulabhornae","Amblypharyngodon","Rasborinae","Cyprinidae","Cypriniformes"
"424","Amblypharyngodon melettinus","Amblypharyngodon","Rasborinae","Cyprinidae","Cypriniformes"
"425","Amblypharyngodon mola","Amblypharyngodon","Rasborinae","Cyprinidae","Cypriniformes"
"426","Amblypomacentrus clarus","Amblypomacentrus","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"427","Amblyrhynchichthys truncatus","Amblyrhynchichthys","Cyprininae","Cyprinidae","Cypriniformes"
"428","Ameca splendens","Ameca","Goodeinae","Goodeidae","Cyprinodontiformes"
"429","Ameiurus brunneus","Ameiurus",NA,"Ictaluridae","Siluriformes"
"430","Ameiurus catus","Ameiurus",NA,"Ictaluridae","Siluriformes"
"431","Ameiurus melas","Ameiurus",NA,"Ictaluridae","Siluriformes"
"432","Ameiurus natalis","Ameiurus",NA,"Ictaluridae","Siluriformes"
"433","Ameiurus nebulosus","Ameiurus",NA,"Ictaluridae","Siluriformes"
"434","Ameiurus platycephalus","Ameiurus",NA,"Ictaluridae","Siluriformes"
"435","Ameiurus serracanthus","Ameiurus",NA,"Ictaluridae","Siluriformes"
"436","Amia calva","Amia",NA,"Amiidae","Amiiformes"
"437","Amissidens hainesi","Amissidens","Ariinae","Ariidae","Siluriformes"
"438","Ammocrypta beanii","Ammocrypta","Etheostomatinae","Percidae","Perciformes"
"439","Ammocrypta bifascia","Ammocrypta","Etheostomatinae","Percidae","Perciformes"
"440","Ammocrypta clara","Ammocrypta","Etheostomatinae","Percidae","Perciformes"
"441","Ammocrypta meridiana","Ammocrypta","Etheostomatinae","Percidae","Perciformes"
"442","Ammocrypta pellucida","Ammocrypta","Etheostomatinae","Percidae","Perciformes"
"443","Ammocrypta vivax","Ammocrypta","Etheostomatinae","Percidae","Perciformes"
"444","Ammodytes americanus","Ammodytes",NA,"Ammodytidae","Uranoscopiformes"
"445","Ammodytes dubius","Ammodytes",NA,"Ammodytidae","Uranoscopiformes"
"446","Ammodytes hexapterus","Ammodytes",NA,"Ammodytidae","Uranoscopiformes"
"447","Ammodytes personatus","Ammodytes",NA,"Ammodytidae","Uranoscopiformes"
"448","Ammodytes tobianus","Ammodytes",NA,"Ammodytidae","Uranoscopiformes"
"449","Amniataba affinis","Amniataba",NA,"Terapontidae","Centrarchiformes"
"450","Amniataba caudavittata","Amniataba",NA,"Terapontidae","Centrarchiformes"
"451","Amniataba percoides","Amniataba",NA,"Terapontidae","Centrarchiformes"
"452","Amphiarius rugispinis","Amphiarius","Ariinae","Ariidae","Siluriformes"
"453","Amphichaetodon howensis","Amphichaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"454","Amphichaetodon melbae","Amphichaetodon",NA,"Chaetodontidae","Chaetodontiformes"
"455","Amphilius atesuensis","Amphilius","Amphiliinae","Amphiliidae","Siluriformes"
"456","Amphilius jacksonii","Amphilius","Amphiliinae","Amphiliidae","Siluriformes"
"457","Amphilius platychir","Amphilius","Amphiliinae","Amphiliidae","Siluriformes"
"458","Amphilius rheophilus","Amphilius","Amphiliinae","Amphiliidae","Siluriformes"
"459","Amphilophus alfari","Amphilophus",NA,"Cichlidae","Cichliformes"
"460","Amphilophus altifrons","Amphilophus",NA,"Cichlidae","Cichliformes"
"461","Amphilophus bussingi","Amphilophus",NA,"Cichlidae","Cichliformes"
"462","Amphilophus calobrensis","Amphilophus",NA,"Cichlidae","Cichliformes"
"463","Amphilophus citrinellus","Amphilophus","Cichlasomatinae","Cichlidae","Cichliformes"
"464","Amphilophus diquis","Amphilophus",NA,"Cichlidae","Cichliformes"
"465","Amphilophus hogaboomorum","Amphilophus","Cichlasomatinae","Cichlidae","Cichliformes"
"466","Amphilophus labiatus","Amphilophus","Cichlasomatinae","Cichlidae","Cichliformes"
"467","Amphilophus longimanus","Amphilophus",NA,"Cichlidae","Cichliformes"
"468","Amphilophus lyonsi","Amphilophus","Cichlasomatinae","Cichlidae","Cichliformes"
"469","Amphilophus macracanthus","Amphilophus",NA,"Cichlidae","Cichliformes"
"470","Amphilophus nourissati","Amphilophus",NA,"Cichlidae","Cichliformes"
"471","Amphilophus rhytisma","Amphilophus",NA,"Cichlidae","Cichliformes"
"472","Amphilophus robertsoni","Amphilophus",NA,"Cichlidae","Cichliformes"
"473","Amphilophus rostratus","Amphilophus",NA,"Cichlidae","Cichliformes"
"474","Amphiprion akallopisos","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"475","Amphiprion akindynos","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"476","Amphiprion allardi","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"477","Amphiprion barberi","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"478","Amphiprion bicinctus","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"479","Amphiprion chagosensis","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"480","Amphiprion chrysogaster","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"481","Amphiprion chrysopterus","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"482","Amphiprion clarkii","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"483","Amphiprion ephippium","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"484","Amphiprion frenatus","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"485","Amphiprion latifasciatus","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"486","Amphiprion leucokranos","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"487","Amphiprion mccullochi","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"488","Amphiprion melanopus","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"489","Amphiprion nigripes","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"490","Amphiprion ocellaris","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"491","Amphiprion omanensis","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"492","Amphiprion percula","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"493","Amphiprion perideraion","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"494","Amphiprion polymnus","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"495","Amphiprion rubrocinctus","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"496","Amphiprion sandaracinos","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"497","Amphiprion sebae","Amphiprion","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"498","Amphistichus koelzi","Amphistichus",NA,"Embiotocidae","Incertae sedis in Ovalentaria"
"499","Amphistichus rhodoterus","Amphistichus",NA,"Embiotocidae","Incertae sedis in Ovalentaria"
"500","Anabas testudineus","Anabas",NA,"Anabantidae","Anabantiformes"
"501","Anableps anableps","Anableps","Anablepinae","Anablepidae","Cyprinodontiformes"
"502","Anablepsoides amphoreus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"503","Anablepsoides cryptocallus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"504","Anablepsoides deltaphilus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"505","Anablepsoides hartii","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"506","Anablepsoides immaculatus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"507","Anablepsoides iridescens","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"508","Anablepsoides jucundus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"509","Anablepsoides ophiomimus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"510","Anablepsoides rubrolineatus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"511","Anablepsoides stagnatus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"512","Anablepsoides urophthalmus","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"513","Anablepsoides waimacui","Anablepsoides","Rivulinae","Rivulidae","Cyprinodontiformes"
"514","Anadoras grypus","Anadoras","Astrodoradinae","Doradidae","Siluriformes"
"515","Anadoras weddellii","Anadoras","Astrodoradinae","Doradidae","Siluriformes"
"516","Anaecypris hispanica","Anaecypris","Leuciscinae","Cyprinidae","Cypriniformes"
"517","Anampses caeruleopunctatus","Anampses","Corinae","Labridae","Labriformes"
"518","Anampses chrysocephalus","Anampses","Corinae","Labridae","Labriformes"
"519","Anampses cuvier","Anampses","Corinae","Labridae","Labriformes"
"520","Anampses femininus","Anampses","Corinae","Labridae","Labriformes"
"521","Anampses geographicus","Anampses","Corinae","Labridae","Labriformes"
"522","Anampses lennardi","Anampses","Corinae","Labridae","Labriformes"
"523","Anampses lineatus","Anampses","Corinae","Labridae","Labriformes"
"524","Anampses melanurus","Anampses","Corinae","Labridae","Labriformes"
"525","Anampses meleagrides","Anampses","Corinae","Labridae","Labriformes"
"526","Anampses neoguinaicus","Anampses","Corinae","Labridae","Labriformes"
